Year,max
1908,159
1909,94
1910,18.60000038
1911,89.5
1912,122
1913,38.79999924
1914,28.89999962
1915,239
1916,146
1917,147
1918,35.40000153
1919,72.5
1920,67.69999695
1921,37.40000153
1922,26.5
1923,331
1924,59.5
1925,66.5
1926,88.09999847
1927,83.30000305
1928,100
1929,382
1930,30.60000038
1931,22.89999962
1932,311
1934,32
1935,32.79999924
1936,35.70000076
1937,54.90000153
1938,59.5
1939,104
1940,40.5
1941,27
1942,128
1943,34.79999924
1944,26.5
1945,67.69999695
1946,54.09999847
1947,79.30000305
1948,154
1949,22.60000038
1950,33.09999847
1951,152
1952,80.40000153
1953,124
1954,59.70000076
1955,46.70000076
1956,37.09999847
1957,38.5
1958,55.20000076
1959,56.09999847
1960,30.29999924
1961,53.20000076
1962,30.89999962
1963,99.09999847
1964,70.19999695
1965,99.69999695
1966,37.90000153
1967,146
1968,44.20000076
1969,133
1970,105
1971,77.90000153
1972,41.09999847
1973,36.20000076
1974,61.70000076
1975,43.29999924
1976,37.70000076
1977,13.60000038
1978,41.90000153
1979,30.79999924
1980,65.30000305
1981,93
1982,37.09999847
1983,22.89999962
1984,19.70000076
1985,72.80000305
1986,50.20000076
1987,27.20000076
1988,34.59999847
1989,20.29999924
1990,126
1991,53.70000076
1992,111
1993,70.09999847
1994,82.90000153
1995,144
1996,42.79999924
1997,63.40000153
1998,118
1999,63.09999847
2000,23.20000076
2001,44.29999924
2002,84.09999847
2003,27.39999962
2004,32.09999847
2005,251
2006,108
2007,73.5
2008,160
2009,50.79999924
2010,51.20000076
2011,147
2012,134
2013,624
2014,92.80000305
2015,15.80000019
2016,75.90000153
2017,36.20000076
2018,42.29999924
2019,66.30000305
2020,73.59999847
2021,39.79999924
2022,108
