T_yrs,CI_Lower,Yp,CI_Upper
2,42.0451934383435,49.3019502183563,57.4629227067714
5,74.6385830599047,91.0353259220912,110.374531316584
10,102.564508717873,131.226434501562,167.768710179787
20,130.743216651,181.92145742266,251.370928542583
50,172.195786692614,270.147089984332,430.287369210528
100,209.42777498687,357.603136437961,636.281945956396
