T_yrs,CI_Lower,Yp,CI_Upper
2,7.88770869459505,10.3752806328789,15.851699422359
5,15.4902063977249,24.4882562637812,37.669930069983
10,22.1178195499012,42.3944399706699,65.9912393137696
20,29.6141788444761,71.4690888795753,116.499386630721
50,43.7007273117073,140.409990947035,255.69643844686
100,56.8110021764994,233.072041338226,450.345899224758
