T_yrs,CI_Lower,Yp,CI_Upper
2,48.9377438182509,57.4391123887177,67.2258867129263
5,93.6523295455285,111.241153785618,130.377973571568
10,129.698392923725,161.38141696322,195.860688867853
20,167.042316474482,221.43392872665,287.723296996744
50,224.442810693478,318.390044704699,458.614032125055
100,273.322708495676,406.868884363316,625.876947993347
